SLoepID,WardName,ConstituencyName,WardDescription,1996Voters,2002Voters,2007Voters,2012Voters,2018Voters,2023Voters,1996Population,2002Population,2007Population,2012Population,2018Population,2023Population,Geolocation,GeolocationGeometry,MapImage
867,"Badja - Ngelehun",,,,,,,,,,,,,,,,,
868,"Bagbe - Ngarlu",,,,,,,,,,,,,,,,,
869,"Bagbo - Jimmi",,,,,,,,,,,,,,,,,
896,"Bagruwa - Sembehun",,,,,,,,,,,,,,,,,
841,Bake-Loko,,,,,,,,,,,,,,,,,
897,"Banta - Gbangbantoke",,,,,,,,,,,,,,,,,
898,"Banta-Mokele - Mokelle",,,,,,,,,,,,,,,,,
870,"Baoma - Baoma",,,,,,,,,,,,,,,,,
805,Barawa-Wolley,,,,,,,,,,,,,,,,,
911,"Barri - Potoru",,,,,,,,,,,,,,,,,
884,"Bendu Cha - Bendu",,,,,,,,,,,,,,,,,
774,"Biriwa Limba - Kamabai",,,,,,,,,,,,,,,,,
768,"Bombali Sebora - Makeni",,,,,,,,,,,,,,,,,
769,"Bombali Siaray",,,,,,,,,,,,,,,,,
874,Bongor,,,,,,,,,,,,,,,,,
833,"Bramaia - Kukuna",,,,,,,,,,,,,,,,,
885,"Bum - Madina",,,,,,,,,,,,,,,,,
871,"Bumpe - Bumpe",,,,,,,,,,,,,,,,,
899,"Bumpe - Rotifunk",,,,,,,,,,,,,,,,,
838,Bureh,,,,,,,,,,,,,,,,,
862,Buya,,,,,,,,,,,,,,,,,
737,"Dama - Giema",,,,,,,,,,,,,,,,,
807,Dansogoia,,,,,,,,,,,,,,,,,
900,"Dasse - Mano",,,,,,,,,,,,,,,,,
753,"Dea - Baiwala",,,,,,,,,,,,,,,,,
787,Delemandugu,,,,,,,,,,,,,,,,,
886,"Dema - Tissana",,,,,,,,,,,,,,,,,
791,"Dembelia Musaia",,,,,,,,,,,,,,,,,
792,"Dembelia Sikunia - Sikunia",,,,,,,,,,,,,,,,,
799,"Diang - Kondembaia",,,,,,,,,,,,,,,,,
865,Dibia,,,,,,,,,,,,,,,,,
831,Dixon,,,,,,,,,,,,,,,,,
738,"Dodo - Dodo",,,,,,,,,,,,,,,,,
901,"Fakunya - Gandohun",,,,,,,,,,,,,,,,,
733,"Fiama - Njagbwema",,,,,,,,,,,,,,,,,
790,Folasaba-Kamba,,,,,,,,,,,,,,,,,
912,Gallines,,,,,,,,,,,,,,,,,
739,"Gaura - Joru",,,,,,,,,,,,,,,,,
730,"Gbane - Ngandorhun",,,,,,,,,,,,,,,,,
736,"Gbane Kandor - Koardu",,,,,,,,,,,,,,,,,
771,Gbanti,,,,,,,,,,,,,,,,,
854,Gbanti,,,,,,,,,,,,,,,,,
775,Gbendembu,,,,,,,,,,,,,,,,,
724,"Gbense - Yardu",,,,,,,,,,,,,,,,,
830,Gbinle,,,,,,,,,,,,,,,,,
872,"Gbo - Gbo",,,,,,,,,,,,,,,,,
801,Gbongobor-Kayaka,,,,,,,,,,,,,,,,,
734,"Gorama Kono - Kangama",,,,,,,,,,,,,,,,,
740,"Gorama Mende - Tungie",,,,,,,,,,,,,,,,,
887,"Imperi - Gbangbama",,,,,,,,,,,,,,,,,
873,Jaiama,,,,,,,,,,,,,,,,,
758,"Jawei - Daru",,,,,,,,,,,,,,,,,
888,"Jong - Mattru",,,,,,,,,,,,,,,,,
789,Kabelia,,,,,,,,,,,,,,,,,
919,Kabonde,,,,,,,,,,,,,,,,,
809,Kafe,,,,,,,,,,,,,,,,,
845,"Kaffu Bullom - Mahera",,,,,,,,,,,,,,,,,
903,"Kagboro - Shenge",,,,,,,,,,,,,,,,,
902,"Kaiyamba - Moyamba",,,,,,,,,,,,,,,,,
875,"Kakua - Kakua",,,,,,,,,,,,,,,,,
808,Kalantuba,,,,,,,,,,,,,,,,,
804,Kallian,,,,,,,,,,,,,,,,,
725,"Kama'a - Tombodu",,,,,,,,,,,,,,,,,
793,Kamadugu-Yiraia,,,,,,,,,,,,,,,,,
904,"Kamajei - Senehun",,,,,,,,,,,,,,,,,
778,"Kamaranka - Kamaranka",,,,,,,,,,,,,,,,,
844,Kamasondo,,,,,,,,,,,,,,,,,
796,Kamukeh,,,,,,,,,,,,,,,,,
741,"Kandu Leppiama - Gbado",,,,,,,,,,,,,,,,,
839,Kasseh,,,,,,,,,,,,,,,,,
800,Kasunko-Kakellay,,,,,,,,,,,,,,,,,
823,"Kholifa Mabang",,,,,,,,,,,,,,,,,
814,"Kholifa Mayosso-Mamuntha",,,,,,,,,,,,,,,,,
811,"Kholifa Rowala",,,,,,,,,,,,,,,,,
834,Khonimakha,,,,,,,,,,,,,,,,,
755,"Kissi Kama - Dea",,,,,,,,,,,,,,,,,
756,"Kissi Teng - Kangama",,,,,,,,,,,,,,,,,
757,"Kissi Tongi - Buedu",,,,,,,,,,,,,,,,,
876,"Komboya - Njala",,,,,,,,,,,,,,,,,
905,"Kongboro - Bauya",,,,,,,,,,,,,,,,,
906,"Kori - Taiama",,,,,,,,,,,,,,,,,
907,"Kowa - Njama",,,,,,,,,,,,,,,,,
742,"Koya - Baoma",,,,,,,,,,,,,,,,,
847,"Koya - Songo",,,,,,,,,,,,,,,,,
914,"Kpaka - Massam",,,,,,,,,,,,,,,,,
889,"Kpanda-Kemo - Motuo",,,,,,,,,,,,,,,,,
918,"Kpanga - Pujehun",,,,,,,,,,,,,,,,,
920,"Kpanga-Krim - Gobaru",,,,,,,,,,,,,,,,,
765,"Kpeje Bongre - Manowa",,,,,,,,,,,,,,,,,
783,Kulor-Seradu,,,,,,,,,,,,,,,,,
816,"Kunike Folawusu",,,,,,,,,,,,,,,,,
813,"Kunike Gbarnga",,,,,,,,,,,,,,,,,
815,"Kunike Sanda",,,,,,,,,,,,,,,,,
890,"Kwamebai Krim - Benduma",,,,,,,,,,,,,,,,,
743,"Langrama - Ya Baima",,,,,,,,,,,,,,,,,
731,"Lei - Siama",,,,,,,,,,,,,,,,,
855,"Libeisaygahun-Gombagu - Batkanu",,,,,,,,,,,,,,,,,
843,"Lokomassama - Petifu",,,,,,,,,,,,,,,,,
744,"Lower Bambara - Panguma",,,,,,,,,,,,,,,,,
759,"Luawa - Kailahun",,,,,,,,,,,,,,,,,
877,"Lugbu - Sumbuya",,,,,,,,,,,,,,,,,
840,Maconteh,,,,,,,,,,,,,,,,,
735,"Mafindor - Kamiendor",,,,,,,,,,,,,,,,,
856,Mafonda,,,,,,,,,,,,,,,,,
842,"Maforki - Port Loko",,,,,,,,,,,,,,,,,
777,"Magbaiamba-Ndowahun - Hunduwa",,,,,,,,,,,,,,,,,
827,"Magbema - Kambia",,,,,,,,,,,,,,,,,
850,Makama,,,,,,,,,,,,,,,,,
770,Makari,,,,,,,,,,,,,,,,,
857,Makerembay,,,,,,,,,,,,,,,,,
915,"Makpele - Zimmi",,,,,,,,,,,,,,,,,
824,Malal,,,,,,,,,,,,,,,,,
745,"Malegohun - Sembehun",,,,,,,,,,,,,,,,,
760,"Malema - Jojoima",,,,,,,,,,,,,,,,,
916,"Malen - Sahn",,,,,,,,,,,,,,,,,
828,"Mambolo - Mambolo",,,,,,,,,,,,,,,,,
761,"Mandu - Mobai",,,,,,,,,,,,,,,,,
917,"Mano Sakrim - Gbonjema",,,,,,,,,,,,,,,,,
779,Mara,,,,,,,,,,,,,,,,,
846,"Marampa - Lunsar",,,,,,,,,,,,,,,,,
820,Masakong,,,,,,,,,,,,,,,,,
848,"Masimera - Masimera",,,,,,,,,,,,,,,,,
835,"Masungbala - Kawulia",,,,,,,,,,,,,,,,,
818,Mayeppoh,,,,,,,,,,,,,,,,,
784,"Mongo - Bendugu",,,,,,,,,,,,,,,,,
786,Morifindugu,,,,,,,,,,,,,,,,,
803,"Neini - Yiffin",,,,,,,,,,,,,,,,,
781,"Neya - Krubola",,,,,,,,,,,,,,,,,
776,Ngowahun,,,,,,,,,,,,,,,,,
746,"Niawa - Sundumei",,,,,,,,,,,,,,,,,
878,"Niawa-Lenga - Nengbema",,,,,,,,,,,,,,,,,
726,"Nimikoro - Njaiama",,,,,,,,,,,,,,,,,
727,"Nimiyama - Sewafe",,,,,,,,,,,,,,,,,
754,"Njaluahun - Segbwema",,,,,,,,,,,,,,,,,
747,"Nomo - Faama",,,,,,,,,,,,,,,,,
891,"Nongoba Bullom - Gbap",,,,,,,,,,,,,,,,,
748,"Nongowa	 - Kenema",,,,,,,,,,,,,,,,,
782,Nyedu,,,,,,,,,,,,,,,,,
772,"Paki Masabong - Mapaki",,,,,,,,,,,,,,,,,
921,"Peje - Futta",,,,,,,,,,,,,,,,,
762,"Peje West - Bunumbu",,,,,,,,,,,,,,,,,
763,"Penguia - Sandaru",,,,,,,,,,,,,,,,,
913,Perri,,,,,,,,,,,,,,,,,
819,Poli,,,,,,,,,,,,,,,,,
908,"Ribbi - Bradford",,,,,,,,,,,,,,,,,
863,Romende,,,,,,,,,,,,,,,,,
864,Safroko,,,,,,,,,,,,,,,,,
773,"Safroko Limba - Binkolo",,,,,,,,,,,,,,,,,
825,"Sambaia - Bendugu",,,,,,,,,,,,,,,,,
829,"Samu - Kychum",,,,,,,,,,,,,,,,,
861,"Sanda Loko - Kamalo",,,,,,,,,,,,,,,,,
859,"Sanda Magbolontor - Sendugu",,,,,,,,,,,,,,,,,
858,"Sanda Tendaren - Mateboi",,,,,,,,,,,,,,,,,
728,"Sandor - Kayima",,,,,,,,,,,,,,,,,
879,"Selenga - Dambala",,,,,,,,,,,,,,,,,
860,"Sella Limba - Kamakwie",,,,,,,,,,,,,,,,,
797,"Sengbe - Yogomaia",,,,,,,,,,,,,,,,,
785,Seradu,,,,,,,,,,,,,,,,,
749,"Simbaru - Boajibu",,,,,,,,,,,,,,,,,
810,Simiria,,,,,,,,,,,,,,,,,
892,"Sittia - Yonni",,,,,,,,,,,,,,,,,
750,"Small Bo - Blama",,,,,,,,,,,,,,,,,
732,"Soa - Kainkordu",,,,,,,,,,,,,,,,,
893,"Sogbini - Tihun",,,,,,,,,,,,,,,,,
922,"Soro Gbema - Fairo",,,,,,,,,,,,,,,,,
923,"Sowa - Bandajuma",,,,,,,,,,,,,,,,,
788,"Sulima - Falaba",,,,,,,,,,,,,,,,,
836,Tala-Munu,,,,,,,,,,,,,,,,,
852,"Tambakha Simibungie",,,,,,,,,,,,,,,,,
853,"Tambakha Yobangie",,,,,,,,,,,,,,,,,
812,"Tane - Matotoka",,,,,,,,,,,,,,,,,
723,"Tankoro - New Sembehun",,,,,,,,,,,,,,,,,
849,Thainkatopa,,,,,,,,,,,,,,,,,
802,Thamiso,,,,,,,,,,,,,,,,,
880,"Tikonko - Tikonko",,,,,,,,,,,,,,,,,
909,"Timdel - Bomotoke",,,,,,,,,,,,,,,,,
729,"Toli - Kondewakor",,,,,,,,,,,,,,,,,
832,"Tonko Limba - Madina",,,,,,,,,,,,,,,,,
751,"Tunkia - Gorahun",,,,,,,,,,,,,,,,,
764,"Upper Bambara - Pendembu",,,,,,,,,,,,,,,,,
881,"Valunia - Mongere",,,,,,,,,,,,,,,,,
752,"Wando - Faala",,,,,,,,,,,,,,,,,
795,"Wara-Wara Bafodia - Bafodea",,,,,,,,,,,,,,,,,
798,"Wara-Wara Yagalla - Gbawuria",,,,,,,,,,,,,,,,,
882,"Wonde - Gboyama",,,,,,,,,,,,,,,,,
894,"Yawbeko - Talia",,,,,,,,,,,,,,,,,
766,"Yawei - Bandajuma",,,,,,,,,,,,,,,,,
924,"Yekemo-Kpukumu-Krim - Karlu",,,,,,,,,,,,,,,,,
817,Yele,,,,,,,,,,,,,,,,,
821,"Yoni Mabanta",,,,,,,,,,,,,,,,,
