SLoepID,ConstituencyName,DistrictName,ConstituencyDescription,1996Voters,2002Voters,2007Voters,2012Voters,2018Voters,2023Voters,1996Population,2002Population,2007Population,2012Population,2018Population,2023Population,Geolocation,GeolocationGeometry,MapImage
68,Constituency 1,Kailahun,"This Constituency Consists of the whole of Kissi Tongi Chiefdom. It has a population of 50,950",,,,,,,,,,,,,,,/sites/default/files/open-data/boundary-delimitation-maps/east/1-kailahun/1/1.png
77,Constituency 10,Kailahun,"This Constituency consists of P e n g u i a and Kpeje Bongre Chiefdoms. It has a population 51,441",,,,,51441,,,,,,,,,,
167,Constituency 100,Pujehun,This Constituency consists of the entire Galliness and P er ri Chiefdoms.,,,,,54691,,,,,,,,,,
168,Constituency 101,Pujehun,This Constituency consists of the entire Soro Gbema Chiefdom with the exception of Zombo Section and the entire Makpele Chiefdom with the exception of Seitua Section,,,,,66215,,,,,,,,,,
169,Constituency 102,Pujehun,"This Constituency consists of the following Chiefdoms: Kpaka, Yakemu Kpukumu (YKK), Mano Sakrim and Kpanga Krim.",,,,,52154,,,,,,,,,,
170,Constituency 103,Pujehun,"This Constituency consists of the following C hiefdoms: The entire P anga, Kabonde and part of Sowa Chiefdom with the following Sections: Saba 1 and Saba 2.",,,,,57569,,,,,,,,,,
171,Constituency 104,Pujehun,This Constituency consists of the entire Malen Chiefdom and part of Sowa Chiefdom with the following Sections; Kangabai and Upper Geoma.,,,,,58170,,,,,,,,,,
172,Constituency 105,Western Area Rural,"This Constituency consists of the following Areas: Waterloo, Benguema and Sattia/ Tombo. and has a population of 61,794",,,,,61794,,,,,,,,,,
173,Constituency 106,Western Area Rural,"This Constituency consists of the following Areas: Malambay and Magbafti. and has population of 51,364",,,,,51364,,,,,,,,,,
174,Constituency 107,Western Area Rural,"This Constituency consists of the following Areas: Waterloo-Lumpa, Madonkeh, Newton, Songo and Fabaina. and has a total population of 56,829",,,,,56829,,,,,,,,,,
