SLoepID,DistrictDescription,DistrictName,RegionName,DistrictHQ,1996Voters,2002Voters,2007Voters,2012Voters,2018Voters,2023Voters,1996Population,2002Population,2007Population,2012Population,2018Population,2023Population,Geolocation,GeolocationGeometry,MapImage,2012Winner,2018Winner,2023Winner,SwingDistrict,WinningPartyColor
4592,,"Bo City Council",,,,,,,,,,,,,,,,,,,,,,009900
4587,,"Bo District Council",,,,,,,,,,,,,,,,,,,,,,009900
4580,,"Bombali District Council",,,,,,,,,,,,,,,,,,,,,,FF333C
4588,,"Bonthe District Council",,,,,,,,,,,,,,,,,,,,,,009900
4593,,"Bonthe Municipal Council",,,,,,,,,,,,,,,,,,,,,,009900
4581,,"Falaba District Council",,,,,,,,,,,,,,,,,,,,,,FF333C
4594,,"Freetown City Council",,,,,,,,,,,,,,,,,,,,,,FF333C
4577,,"Kailahun District Council",,,,,,,,,,,,,,,,,,,,,,009900
4584,,"Kambia District Council",,,,,,,,,,,,,,,,,,,,,,FF333C
4585,,"Karene District Council",,,,,,,,,,,,,,,,,,,,,,FF333C
4595,,"Kenema City Council",,,,,,,,,,,,,,,,,,,,,,009900
4578,,"Kenema District Council",,,,,,,,,,,,,,,,,,,,,,009900
4596,,"Koidu-New Sembehun City Council",,,,,,,,,,,,,,,,,,,,,,FF333C
4582,,"Koinadugu District Council",,,,,,,,,,,,,,,,,,,,,,FF333C
4579,,"Kono District Council",,,,,,,,,,,,,,,,,,,,,,FF333C
4597,,"Makeni City Council",,,,,,,,,,,,,,,,,,,,,,FF333C
4589,,"Moyamba District Council",,,,,,,,,,,,,,,,,,,,,,009900
4598,,"Port Loko City Council",,,,,,,,,,,,,,,,,,,,,,FF333C
4586,,"Port Loko District Council",,,,,,,,,,,,,,,,,,,,,,FF333C
4590,,"Pujehun District Council",,,,,,,,,,,,,,,,,,,,,,009900
4583,,"Tonkolili District Council",,,,,,,,,,,,,,,,,,,,,,FF333C
4591,,"Western Rural District Council",,,,,,,,,,,,,,,,,,,,,,FF333C
