SLoepID,WardName,ConstituencyName,WardDescription,1996Voters,2002Voters,2007Voters,2012Voters,2018Voters,2023Voters,1996Population,2002Population,2007Population,2012Population,2018Population,2023Population,Geolocation,GeolocationGeometry,MapImage
204,"Ward 1","Constituency 1","This Ward consists of the following Sections: Bende  Bengu,  Upper Konio, and Upper Pokorli, all in the Kissi Tongi Chiefdom.  It has a population of 15,841.",,,,,3143,,,,,,,,,,/sites/default/files/open-data/boundary-delimitation-maps/east/1-kailahun/1/2.png
213,"Ward 10",,,,,,,,,,,,,,,,,
303,"Ward 100",,,,,,,,,,,,,,,,,
304,"Ward 101",,,,,,,,,,,,,,,,,
305,"Ward 102",,,,,,,,,,,,,,,,,
306,"Ward 103",,,,,,,,,,,,,,,,,
307,"Ward 104",,,,,,,,,,,,,,,,,
308,"Ward 105",,,,,,,,,,,,,,,,,
309,"Ward 106",,,,,,,,,,,,,,,,,
310,"Ward 107",,,,,,,,,,,,,,,,,
311,"Ward 108",,,,,,,,,,,,,,,,,
312,"Ward 109",,,,,,,,,,,,,,,,,
214,"Ward 11",,,,,,,,,,,,,,,,,
313,"Ward 110",,,,,,,,,,,,,,,,,
314,"Ward 111",,,,,,,,,,,,,,,,,
315,"Ward 112",,,,,,,,,,,,,,,,,
316,"Ward 113",,,,,,,,,,,,,,,,,
317,"Ward 114",,,,,,,,,,,,,,,,,
318,"Ward 115",,,,,,,,,,,,,,,,,
319,"Ward 116",,,,,,,,,,,,,,,,,
320,"Ward 117",,,,,,,,,,,,,,,,,
321,"Ward 118",,,,,,,,,,,,,,,,,
322,"Ward 119",,,,,,,,,,,,,,,,,
215,"Ward 12",,,,,,,,,,,,,,,,,
323,"Ward 120",,,,,,,,,,,,,,,,,
324,"Ward 121",,,,,,,,,,,,,,,,,
325,"Ward 122",,,,,,,,,,,,,,,,,
326,"Ward 123",,,,,,,,,,,,,,,,,
327,"Ward 124",,,,,,,,,,,,,,,,,
328,"Ward 125",,,,,,,,,,,,,,,,,
329,"Ward 126",,,,,,,,,,,,,,,,,
330,"Ward 127",,,,,,,,,,,,,,,,,
331,"Ward 128",,,,,,,,,,,,,,,,,
332,"Ward 129",,,,,,,,,,,,,,,,,
216,"Ward 13",,,,,,,,,,,,,,,,,
333,"Ward 130",,,,,,,,,,,,,,,,,
334,"Ward 131",,,,,,,,,,,,,,,,,
335,"Ward 132",,,,,,,,,,,,,,,,,
336,"Ward 133",,,,,,,,,,,,,,,,,
337,"Ward 134",,,,,,,,,,,,,,,,,
338,"Ward 135",,,,,,,,,,,,,,,,,
339,"Ward 136",,,,,,,,,,,,,,,,,
340,"Ward 137",,,,,,,,,,,,,,,,,
341,"Ward 138",,,,,,,,,,,,,,,,,
342,"Ward 139",,,,,,,,,,,,,,,,,
217,"Ward 14",,,,,,,,,,,,,,,,,
343,"Ward 140",,,,,,,,,,,,,,,,,
344,"Ward 141",,,,,,,,,,,,,,,,,
345,"Ward 142",,,,,,,,,,,,,,,,,
346,"Ward 143",,,,,,,,,,,,,,,,,
347,"Ward 144",,,,,,,,,,,,,,,,,
348,"Ward 145",,,,,,,,,,,,,,,,,
349,"Ward 146",,,,,,,,,,,,,,,,,
350,"Ward 147",,,,,,,,,,,,,,,,,
351,"Ward 148",,,,,,,,,,,,,,,,,
352,"Ward 149",,,,,,,,,,,,,,,,,
218,"Ward 15",,,,,,,,,,,,,,,,,
353,"Ward 150",,,,,,,,,,,,,,,,,
354,"Ward 151",,,,,,,,,,,,,,,,,
355,"Ward 152",,,,,,,,,,,,,,,,,
356,"Ward 153",,,,,,,,,,,,,,,,,
357,"Ward 154",,,,,,,,,,,,,,,,,
358,"Ward 155",,,,,,,,,,,,,,,,,
359,"Ward 156",,,,,,,,,,,,,,,,,
360,"Ward 157",,,,,,,,,,,,,,,,,
361,"Ward 158",,,,,,,,,,,,,,,,,
362,"Ward 159",,,,,,,,,,,,,,,,,
219,"Ward 16",,,,,,,,,,,,,,,,,
363,"Ward 160",,,,,,,,,,,,,,,,,
364,"Ward 161",,,,,,,,,,,,,,,,,
365,"Ward 162",,,,,,,,,,,,,,,,,
366,"Ward 163",,,,,,,,,,,,,,,,,
367,"Ward 164",,,,,,,,,,,,,,,,,
368,"Ward 165",,,,,,,,,,,,,,,,,
369,"Ward 166",,,,,,,,,,,,,,,,,
370,"Ward 167",,,,,,,,,,,,,,,,,
371,"Ward 168",,,,,,,,,,,,,,,,,
372,"Ward 169",,,,,,,,,,,,,,,,,
220,"Ward 17",,,,,,,,,,,,,,,,,
373,"Ward 170",,,,,,,,,,,,,,,,,
374,"Ward 171",,,,,,,,,,,,,,,,,
375,"Ward 172",,,,,,,,,,,,,,,,,
376,"Ward 173",,,,,,,,,,,,,,,,,
377,"Ward 174",,,,,,,,,,,,,,,,,
378,"Ward 175",,,,,,,,,,,,,,,,,
379,"Ward 176",,,,,,,,,,,,,,,,,
380,"Ward 177",,,,,,,,,,,,,,,,,
381,"Ward 178",,,,,,,,,,,,,,,,,
382,"Ward 179",,,,,,,,,,,,,,,,,
221,"Ward 18",,,,,,,,,,,,,,,,,
383,"Ward 180",,,,,,,,,,,,,,,,,
384,"Ward 181",,,,,,,,,,,,,,,,,
385,"Ward 182",,,,,,,,,,,,,,,,,
386,"Ward 183",,,,,,,,,,,,,,,,,
387,"Ward 184",,,,,,,,,,,,,,,,,
388,"Ward 185",,,,,,,,,,,,,,,,,
389,"Ward 186",,,,,,,,,,,,,,,,,
390,"Ward 187",,,,,,,,,,,,,,,,,
391,"Ward 188",,,,,,,,,,,,,,,,,
392,"Ward 189",,,,,,,,,,,,,,,,,
222,"Ward 19",,,,,,,,,,,,,,,,,
393,"Ward 190",,,,,,,,,,,,,,,,,
394,"Ward 191",,,,,,,,,,,,,,,,,
395,"Ward 192",,,,,,,,,,,,,,,,,
396,"Ward 193",,,,,,,,,,,,,,,,,
397,"Ward 194",,,,,,,,,,,,,,,,,
398,"Ward 195",,,,,,,,,,,,,,,,,
399,"Ward 196",,,,,,,,,,,,,,,,,
400,"Ward 197",,,,,,,,,,,,,,,,,
401,"Ward 198",,,,,,,,,,,,,,,,,
402,"Ward 199",,,,,,,,,,,,,,,,,
205,"Ward 2","Constituency 1",,,,,,6011,,,,,,,,,,/sites/default/files/open-data/boundary-delimitation-maps/east/1-kailahun/1/3.png
223,"Ward 20",,,,,,,,,,,,,,,,,
403,"Ward 200",,,,,,,,,,,,,,,,,
404,"Ward 201",,,,,,,,,,,,,,,,,
405,"Ward 202",,,,,,,,,,,,,,,,,
406,"Ward 203",,,,,,,,,,,,,,,,,
407,"Ward 204",,,,,,,,,,,,,,,,,
408,"Ward 205",,,,,,,,,,,,,,,,,
409,"Ward 206",,,,,,,,,,,,,,,,,
410,"Ward 207",,,,,,,,,,,,,,,,,
411,"Ward 208",,,,,,,,,,,,,,,,,
412,"Ward 209",,,,,,,,,,,,,,,,,
224,"Ward 21",,,,,,,,,,,,,,,,,
413,"Ward 210",,,,,,,,,,,,,,,,,
414,"Ward 211",,,,,,,,,,,,,,,,,
415,"Ward 212",,,,,,,,,,,,,,,,,
416,"Ward 213",,,,,,,,,,,,,,,,,
417,"Ward 214",,,,,,,,,,,,,,,,,
418,"Ward 215",,,,,,,,,,,,,,,,,
419,"Ward 216",,,,,,,,,,,,,,,,,
420,"Ward 217",,,,,,,,,,,,,,,,,
421,"Ward 218",,,,,,,,,,,,,,,,,
422,"Ward 219",,,,,,,,,,,,,,,,,
225,"Ward 22",,,,,,,,,,,,,,,,,
423,"Ward 220",,,,,,,,,,,,,,,,,
424,"Ward 221",,,,,,,,,,,,,,,,,
425,"Ward 222",,,,,,,,,,,,,,,,,
426,"Ward 223",,,,,,,,,,,,,,,,,
427,"Ward 224",,,,,,,,,,,,,,,,,
428,"Ward 225",,,,,,,,,,,,,,,,,
429,"Ward 226",,,,,,,,,,,,,,,,,
430,"Ward 227",,,,,,,,,,,,,,,,,
431,"Ward 228",,,,,,,,,,,,,,,,,
432,"Ward 229",,,,,,,,,,,,,,,,,
226,"Ward 23",,,,,,,,,,,,,,,,,
433,"Ward 230",,,,,,,,,,,,,,,,,
434,"Ward 231",,,,,,,,,,,,,,,,,
435,"Ward 232",,,,,,,,,,,,,,,,,
436,"Ward 233",,,,,,,,,,,,,,,,,
437,"Ward 234",,,,,,,,,,,,,,,,,
438,"Ward 235",,,,,,,,,,,,,,,,,
439,"Ward 236",,,,,,,,,,,,,,,,,
440,"Ward 237",,,,,,,,,,,,,,,,,
441,"Ward 238",,,,,,,,,,,,,,,,,
442,"Ward 239",,,,,,,,,,,,,,,,,
