SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionWard,ElectionLocality,ElectionDistrict,ElectionRegion,CandidateFirstName,CandidateSurname,CandidatePoliticalParty,CandidatePoliticalPartyColor,ElectionRound,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,SLOEDP_UUID,Candidate_SLEOP_UUID,CandidateOtherNames,CandidateFullname
3397,3390,2012-11-17,Councillors,"Ward Results","Ward 89",,,,Issa,Bangura,APC,FF333C,"First Round","24,303",14.09,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,cd5298a7-537d-4805-9e7e-fa25cc6ff6d7,3efa2af5-d6cb-4a88-903a-11458aa8028d,,"Issa Bangura"
4630,4627,2012-11-17,Councillors,"Ward Results","Ward 89",,,,Adama,Conteh,APC,FF333C,"First Round","23,228",13.47,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,df1fbf30-da43-4d2b-bb70-758c7bba0703,e990602b-76f9-4b14-81d3-b6fd9ef06bd9,,"Adama Conteh"
4635,4634,2012-11-17,Councillors,"Ward Results","Ward 89",,,,Samuel,Haward,APC,FF333C,"First Round","22,072",12.80,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,de99e016-b16c-40b9-8367-8cffa8f1504b,00c59e7d-fe8d-4615-8fea-c7c4eecdafdf,,"Samuel Haward"
4639,4637,2012-11-17,Councillors,"Ward Results","Ward 89",,,,Haja,Conteh,APC,FF333C,"First Round","21,398",12.41,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,a8244cff-ee12-4074-8532-e92b69542d2c,7254a82a-dc1b-46fd-a208-70017a81e692,Sento,"Haja Sento Conteh"
4644,4642,2012-11-17,Councillors,"Ward Results","Ward 89",,,,Herbert,Serry,APC,FF333C,"First Round","20,907",12.12,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,8b4e11b0-ef9c-4493-a826-a5ac23bc844c,8ebe22f4-d118-42d1-b840-a6e17d657dcd,,"Herbert Serry"
4650,4648,2012-11-17,Councillors,"Ward Results","Ward 89",,,,Jestina,Smart,APC,FF333C,"First Round","20,655",11.98,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,0b443e39-5a34-4a05-ae55-4a13b4e262c6,501a19a2-c64a-451a-a982-d8968d307f64,Memunatu,"Jestina Memunatu Smart"
7842,7818,2012-11-17,Councillors,"Ward Results","Ward 232",,,,Francis,Bundu,SLPP,009900,"First Round","20,001",15.74,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,5b676beb-88e2-401f-8e4a-4f20398467f2,2aa3cf18-09fc-4ce7-91b5-e94bd3a6c956,Kpakiwa,"Francis Kpakiwa Bundu"
7776,7775,2012-11-17,Councillors,"Ward Results","Ward 232",,,,Sulaiman,Kamara,SLPP,009900,"First Round","19,692",15.49,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,47c5dae2-0acc-4d67-b415-edfb64b3401f,cd309a02-2675-4916-98ed-8cf051ec8c3a,,"Sulaiman Kamara"
7778,7777,2012-11-17,Councillors,"Ward Results","Ward 232",,,,Saidu,Sandi,SLPP,009900,"First Round","19,483",15.33,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,6c858470-2bc3-4580-9b6c-1d6956798af1,097369de-5205-4112-b498-ca1c8874ebc5,Gbessay,"Saidu Gbessay Sandi"
7857,7822,2012-11-17,Councillors,"Ward Results","Ward 232",,,,David,"J. N.",SLPP,009900,"First Round","18,754",14.76,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,b9815679-c063-459c-83ef-d0ea58aadd35,b6e614ba-1849-4dc6-a4da-0f4f032d2392,Smart,"David J. N. Smart"
916,872,2012-11-17,Councillors,"Ward Results","Ward 30",,,,Amidu,Bah,SLPP,009900,"First Round","18,490",19.90,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,055409c6-63d3-44bd-80ad-90ac899e3cdd,736ddf28-6323-4992-885b-99cdf68b1b34,Bailoh,"Amidu Bailoh Bah"
7539,7538,2012-11-17,Councillors,"Ward Results","Ward 230",,,,Alpha,Brima,SLPP,009900,"First Round","18,202",8.02,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,096e3496-364b-4e7e-8d9e-392e9328b6a8,31558cd1-cdc9-4fef-84b6-4c08b3f04c6f,Bah,"Alpha Brima Bah"
918,4578,2012-11-17,Councillors,"Ward Results","Ward 30",,,,Anthony,Fonnie,SLPP,009900,"First Round","18,098",19.47,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,c157a78f-5837-43a1-b5be-ae97d4d489e2,337fa3fc-8ea9-4cfe-926f-3054ea531374,,"Anthony Fonnie"
7541,7540,2012-11-17,Councillors,"Ward Results","Ward 230",,,,Senesie,Squire,SLPP,009900,"First Round","17,979",7.92,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,87fb5ea9-6942-4ce0-95f8-1a0232f7ea8e,d119198d-64be-4f49-8a30-3b6667532120,Brima,"Senesie Squire Brima"
920,4580,2012-11-17,Councillors,"Ward Results","Ward 30",,,,Alice,Dakowa,SLPP,009900,"First Round","17,953",19.32,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,ac96f9b4-a4c8-4b16-b1d5-ca8db1df33e4,f629c572-f24f-47e2-adab-f8765c02071f,Batu,"Alice Batu Dakowa"
7543,7542,2012-11-17,Councillors,"Ward Results","Ward 230",,,,Rose-Marie,H,SLPP,009900,"First Round","17,782",7.83,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,1590459c-eee1-47a7-8635-7e12e2253849,4e037c8a-4d9e-401f-8716-172838d1dff1,Jalloh,"Rose-Marie H. Jalloh"
7545,7544,2012-11-17,Councillors,"Ward Results","Ward 230",,,,Joseph,P.,SLPP,009900,"First Round","17,411",7.67,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,be7c8a72-38bf-4a67-95c8-d65ec81835a4,cb4d5c24-7fdf-4fd0-b057-015fc5fb8e5b,Foday,"Joseph P. Foday"
921,4582,2012-11-17,Councillors,"Ward Results","Ward 30",,,,Mohamed,Sam,SLPP,009900,"First Round","17,062",18.36,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,4e164895-2c0a-4263-bce8-216c1f87cde0,83411bf1-9a44-40f2-a637-5e35d405f134,,"Mohamed Sam"
7547,7546,2012-11-17,Councillors,"Ward Results","Ward 230",,,,Sheku,M.A.,SLPP,009900,"First Round","17,043",7.51,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,06289ab9-408e-4b97-b6b0-04526d4452f5,517d5a24-463b-4294-b0ef-2241e9ae1ddf,Fofana,"Sheku M. A. Fofana"
7549,7548,2012-11-17,Councillors,"Ward Results","Ward 230",,,,Catherine,Kamara,SLPP,009900,"First Round","16,864",7.43,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,64598b5b-ec72-41b3-8be4-7154bddcfb73,50557346-e389-4488-bd14-68143e5a4401,,"Catherine Kamara"
7551,7550,2012-11-17,Councillors,"Ward Results","Ward 230",,,,Abdul,Kanu,SLPP,009900,"First Round","16,840",7.42,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,d58ad1dd-5ee7-464a-8209-12ab0d125fb1,c17cffca-4777-49b8-9378-582dcc950384,Razack,"Abdul Razack Kanu"
4656,4654,2012-11-17,Councillors,"Ward Results","Ward 89",,,,Alimamy,Turay,APC,FF333C,"First Round","16,808",9.75,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,ba379bf6-d9c8-4a19-8891-4427cf731546,9f71edae-93e5-469c-a839-dbf856150f9d,F.,"Alimamy F. Turay"
7780,7779,2012-11-17,Councillors,"Ward Results","Ward 232",,,,Moses,Tucker,SLPP,009900,"First Round","15,999",12.59,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,0d84d108-2efe-4085-a650-542e475ada03,5b3ae420-64ae-420e-917b-7af3bab5d99f,"Tejan Bob","Moses Tejan Bob Tucker"
1322,1208,2012-11-17,Councillors,"Ward Results","Ward 32",,,,Joseph,Alpha,SLPP,009900,"First Round","15,816",20.36,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,a20822a9-5582-4e03-85c3-51dcd91eeacc,4d14b402-40e0-4368-9ccc-7183fb4272ea,,"Joseph Alpha"
4598,1208,2012-11-17,Councillors,"Ward Results","Ward 31",,,,Joseph,Alpha,SLPP,009900,"First Round","15,816",0.00,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,21dfa343-fdc7-451c-a85f-1b5c228d03c3,4d14b402-40e0-4368-9ccc-7183fb4272ea,,"Joseph Alpha"
4601,1249,2012-11-17,Councillors,"Ward Results","Ward 32",,,,Animata,Koroma,SLPP,009900,"First Round","15,417",0.00,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,a16622e9-f96a-4338-bbfe-2bad8a882b69,e4056ecd-0d15-4674-ba67-a1c2660fae30,,"Aminata Koroma"
1391,1249,2012-11-17,Councillors,"Ward Results","Ward 32",,,,Animata,Koroma,SLPP,009900,"First Round","15,417",19.85,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,55e2a7fe-f199-4f8e-9a1b-b9ee9bbb1c25,e4056ecd-0d15-4674-ba67-a1c2660fae30,,"Aminata Koroma"
4604,1248,2012-11-17,Councillors,"Ward Results","Ward 32",,,,Roland,Barnett,SLPP,009900,"First Round","15,350",0.00,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,cc60a2a3-29f5-484e-96f4-91ca1bdd7358,bee8cc0b-8b59-4aba-a65c-9ba4ddf7dd7b,Meinama,"Roland Meinama Barnett"
1390,1248,2012-11-17,Councillors,"Ward Results","Ward 32",,,,Roland,Barnett,SLPP,009900,"First Round","15,350",19.76,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,ed09e13c-703e-46f6-af14-7a565c167be1,bee8cc0b-8b59-4aba-a65c-9ba4ddf7dd7b,Meinama,"Roland Meinama Barnett"
7553,7552,2012-11-17,Councillors,"Ward Results","Ward 230",,,,Osu,Kebbay,SLPP,009900,"First Round","14,122",6.22,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,3c153770-fafe-4e09-b6a9-0e4a7c1ef592,3b1cf86b-cfb9-4c93-9649-e39a9faf1383,,"Osu Kebbay"
948,898,2012-11-17,Councillors,"Ward Results","Ward 31",,,,Esther,Kaisamba,SLPP,009900,"First Round","14,040",18.51,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,5ebb58f9-7c34-4bee-b995-45759c1bc36b,9ca8e144-5991-4266-b116-28a4d6977163,N.,"Esther N. Kaisamba"
4587,,2012-11-17,Councillors,"Ward Results","Ward 31",,,,,,SLPP,009900,"First Round","14,040",0.00,Yes,Final/Certified,,6e4abb7e-347d-4f6a-8069-1265e896bf7a,,,
949,899,2012-11-17,Councillors,"Ward Results","Ward 31",,,,Abdul,Morray,SLPP,009900,"First Round","13,415",17.69,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,2fab9945-a32f-42fd-8721-bc468459f7e2,736d49ee-d0cb-4e61-aa64-4ef1860eca63,K.,"Abdul K. Morray"
4590,,2012-11-17,Councillors,"Ward Results","Ward 31",,,,,,SLPP,009900,"First Round","13,415",0.00,Yes,Final/Certified,,4d890481-3d2c-4e8b-b7fa-01c82ad4a57e,,,
1329,1209,2012-11-17,Councillors,"Ward Results","Ward 32",,,,Alimamy,Rogers,SLPP,009900,"First Round","13,362",17.20,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,bcf88af1-d3db-4e58-bc2c-3d4b3342dcda,0a482883-170d-4130-8c34-74aca199587f,,"Alimamy Rogers"
4607,1209,2012-11-17,Councillors,"Ward Results","Ward 32",,,,Alimamy,Rogers,SLPP,009900,"First Round","13,362",0.00,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,bafadc3c-df10-46a9-a08e-4bca41d8d867,0a482883-170d-4130-8c34-74aca199587f,,"Alimamy Rogers"
7620,7619,2012-11-17,Councillors,"Ward Results","Ward 231",,,,Mary,Coker,SLPP,009900,"First Round","13,337",15.10,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,c15d94d8-0675-48dc-a9dd-7104a76ab1f2,c5871bf5-d3ed-4828-a4bf-49892cd71d7b,Jeneba,"Mary Jeneba Coker"
7774,7773,2012-11-17,Councillors,"Ward Results","Ward 231",,,,Alhasan,Kamara,SLPP,009900,"First Round","13,193",14.94,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,de66a94e-5d9a-4f06-b162-3ea186ec3c66,aaaac541-c939-487a-bb77-3372d29ed21d,,"Alhasan Kamara"
