SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,"City Council",ElectionDistrict,ElectionRegion,CandidateFirstName,CandidateSurname,CandidatePoliticalParty,CandidatePoliticalPartyColor,ElectionRound,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,SLOEDP_UUID,Candidate_SLEOP_UUID,CandidateOtherNames,CandidateFullname
410,70,2018-03-07,Mayor,"District Results","Freetown City","Western Area Urban",,Yvonne,Aki-Sawyerr,APC,FF333C,"First Round","309,581",59.92,Yes,Final/Certified,/sites/default/files/2023-04/yvonne-denise-aki-sawyerr.jpg,72b014a6-f0ba-428c-8ed7-a1c3cc7df832,d7f74283-198d-48c5-a018-71bf2ac424ee,Denise,"Yvonne Denise Aki-Sawyerr"
671,542,2012-11-17,Mayor,"District Results","Freetown City","Western Area Urban",,Sam,Gibson,APC,FF333C,"First Round","303,639",68.56,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,af4098f2-2c81-43f8-9137-50fd0f978f50,e947a376-debe-40fe-992c-b73d5e8d8ccf,Franklyn,"Sam Franklyn Gibson"
587,438,2012-11-17,Chairperson,"District Results",,"Port Loko",,Ahmid,Fofanah,APC,FF333C,"First Round","181,537",89.68,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,a275d9f2-0ac6-414e-8891-e4b39a28173b,a876f748-c5a7-4bc7-9d8e-16b3a8593299,Munirr,"Ahmid Munirr Fofanah"
1189,1182,2018-03-07,Mayor,"District Results","Freetown City","Western Area Urban",,Raymond,George,SLPP,009900,"First Round","167,200",32.36,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,b36bb745-81cc-4b04-9525-880f26bea079,13a3188c-8865-487f-a2b7-8d244a56922d,"Ernest Denison Desouza","Raymond Ernest Denison Desouza George"
590,441,2012-11-17,Chairperson,"District Results",,Tonkolili,,Alusine,Sesay,APC,FF333C,"First Round","138,737",87.88,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,a5c35fb8-571d-49e7-a410-4689b8aa5c8b,699b5045-88f9-4721-bbae-222d36ba1105,,"Alusine Sesay"
673,543,2012-11-17,Mayor,"District Results","Freetown City","Western Area Urban",,Abraham,Sesay-Jones,SLPP,009900,"First Round","127,344",28.75,No,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,62dc3fb9-5011-411e-9694-a0d7c34706ef,31daff10-7467-4364-ab89-68b005e3c758,,"Abraham Sesay-Jones"
1318,444,2018-03-07,Chairperson,"District Results",,Bo,,Joesph,Bindi,SLPP,009900,"First Round","125,524",92.42,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,6f6d3c99-afb5-41a9-92de-7cba7496f629,bcd3bb82-12e2-44b7-8382-4317c677bac9,Munda,"Joesph Munda Bindi"
1332,1324,2018-03-07,Chairperson,"District Results",,Kenema,,Mohamed,Sesay,SLPP,009900,"First Round","122,019",88.96,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,cab8d937-bab5-4336-97bf-2f4df63a9275,50638ea3-69e0-4fa9-a65f-314250b14eab,,"Mohamed Sesay"
573,427,2012-11-17,Chairperson,"District Results",,Bombali,,John,Koroma,APC,FF333C,"First Round","119,529",87.93,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,3d9a1693-d7c4-4d56-9f9d-970352a805e8,5119b683-f64d-45a1-95d5-b661e78a38b4,Shanghai,"John Shanghai Koroma"
1350,1340,2018-03-07,Chairperson,"District Results",,"Western Area Rural",,Kasho,Holland-Cole,APC,FF333C,"First Round","115,021",60.45,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,e8d93ec8-ef17-4a09-923f-412eb394fa70,eb4e3789-8926-42f6-9776-4f1025769196,,"Kasho Holland-Cole"
8626,8625,2012-11-17,Chairperson,"District Results",,Kenema,,Senesie,Mansaray,SLPP,009900,"First Round","110,885",80.30,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,862113b6-d93c-40bc-98b6-8d08e2bcb5b2,7b4b58c4-85d9-4f92-b4b0-97b7a2c82eeb,,"Senesie Mansaray"
556,419,2012-11-17,Chairperson,"District Results",,Kenema,,Senesi,Mansaray,SLPP,009900,"First Round","110,885",80.30,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,4353734a-9338-4f6c-baab-2b7445ca04a7,d30d8d46-162e-408d-88b6-2c6be13f02ab,,"Senesi Mansaray"
1361,1356,2018-03-07,Chairperson,"District Results",,Kailahun,,Sahr,Lamin,SLPP,009900,"First Round","109,857",87.57,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,0e93a870-f3f9-4ba6-87d9-a3077c6ceb97,fa10bf17-9257-4cd9-aa77-c0f215ef4c09,,"Sahr Lamin"
1375,1367,2018-03-07,Chairperson,"District Results",,Tonkolili,,Yabom,Sesay,APC,FF333C,"First Round","109,384",84.07,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png,7172f358-0881-4086-a09a-eca6231ebc17,775e5df8-abc8-403d-bfa3-6e3b379cdf46,,"Yabom Sesay"
593,444,2012-11-17,Chairperson,"District Results",,Bo,,Joesph,Bindi,SLPP,009900,"First Round","107,524",79.00,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,5f482be1-4222-4604-bc76-f3efefdbf1f8,bcd3bb82-12e2-44b7-8382-4317c677bac9,Munda,"Joesph Munda Bindi"
7841,7840,2012-11-17,Chairperson,"District Results",,Bo,,Joseph,Bindi,SLPP,009900,"First Round","107,524",79.00,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,29e7c286-d858-420d-a6ba-af9af6c52220,46af20c9-9600-4891-b117-de3f12085792,Munda,"Joseph Munda Bindi"
1392,1381,2018-03-07,Chairperson,"District Results",,"Port Loko",,Ibrahim,Bangura,APC,FF333C,"First Round","105,023",83.33,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,0c19fdf1-0d93-481f-97ef-4a731182009b,01104aba-f91d-456e-a89e-69627776fbee,,"Ibrahim Bangura"
8618,412,2012-11-17,Chairperson,"District Results",,Kailahun,,Alex,Bhonapha,SLPP,009900,"First Round","92,266",75.73,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,89644f69-a347-4ef8-b176-6c8c8e311d7f,bc1910d0-d41a-4449-8773-00d227cf2b0e,,"Alex Bhonapha"
551,412,2012-11-17,Chairperson,"District Results",,Kailahun,,Alex,Bhonapha,SLPP,009900,"First Round","92,266",75.73,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,b141d8af-69f0-4296-a2d2-7fcf2ca54d0d,bc1910d0-d41a-4449-8773-00d227cf2b0e,,"Alex Bhonapha"
2701,2700,2012-11-17,Chairperson,"District Results",,Kailahun,,Alex,Bhonapha,SLPP,009900,"First Round","92,266",75.73,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,ce39db22-8c56-4509-880e-b101700516b9,5d1e542e-d3f0-4240-8b37-4cd734d94851,,"Alex Bhonapha"
620,473,2012-11-17,Chairperson,"District Results",,"Western Area Rural",,Alhassan,Cole,APC,FF333C,"First Round","91,203",67.26,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,c64ea158-19e3-4aae-9144-eaf0cda6e3ec,44515b83-54ab-4791-8e6c-738362db8404,,"Alhassan Cole"
1438,1432,2018-03-07,Chairperson,"District Results",,Moyamba,,Joseph,Mbogba,SLPP,009900,"First Round","84,919",80.57,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,07f3b6e9-84a0-4ecb-8292-3f8da24898b1,b333b884-beb9-46f8-b7a4-a343aeeb781d,,"Joseph Mbgoba"
1449,1444,2018-03-07,Chairperson,"District Results",,Bombali,,John,Koroma,APC,FF333C,"First Round","79,024",87.47,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,1213a675-11d3-45b1-94ef-63a39eeecbad,82f7bdea-0e6b-4a6d-8660-66ea0254b236,,"John Koroma"
579,431,2012-11-17,Chairperson,"District Results",,Kambia,,Samuel,Sankoh,APC,FF333C,"First Round","78,250",71.93,Yes,Final/Certified,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,a64f69e3-4399-4eb8-b11d-0067247d73a7,8e531d28-14f4-4051-a0cf-0cd897e0da2e,"S. A.","Samuel S. A. Sankoh"
