SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionConstituency,ElectionDistrict,ElectionRegion,CandidateFirstName,CandidateSurname,CandidatePoliticalParty,CandidatePoliticalPartyColor,ElectionRound,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,SLOEDP_UUID,Candidate_SLEOP_UUID,CandidateOtherNames,CandidateFullname
5481,5442,2002-05-14,"MP - Proportional Representation","National Results",,,,"Sierra Leone",Party,SLPP,009900,"First Round","1,293,401",67.67,Yes,Provisional,/sites/default/files/2023-05/slpp-party.jpg,871f9f1a-7f00-425e-819c-7f7e0bd2d92e,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
6163,5442,2002-05-14,"MP - Proportional Representation","Regional Results",,,South,"Sierra Leone",Party,SLPP,009900,"First Round","527,267",95.22,Yes,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,9c2ad427-a474-4bed-9040-68c17d5d32b0,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
6378,5442,2002-05-14,"MP - Proportional Representation","Regional Results",,,East,"Sierra Leone",Party,SLPP,009900,"First Round","458,506",0.00,Yes,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,59bdc208-4d10-4836-b082-bc566761e401,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
5833,5332,2002-05-14,"MP - Proportional Representation","National Results",,,,"All People",Congress,APC,FF333C,"First Round","409,313",21.41,No,Provisional,/sites/default/files/2023-05/apc-party.jpg,afee616e-8ee2-4010-b99d-56aabd89d8d8,ca0ae071-033e-41a3-bb79-bf1541fff84b,,"All Peoples Congress"
2886,5442,1996-02-27,"MP - Proportional Representation","National Results",,,,"Sierra Leone",Party,SLPP,009900,"First Round","269,888",36.00,Yes,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,c148b14f-c8bb-4562-85a4-a46867124ef9,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
5964,5442,2002-05-14,"MP - Proportional Representation","District Results",,Kenema,,"Sierra Leone",Party,SLPP,009900,"First Round","259,400",94.00,Yes,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,9e86f105-d747-4eea-98fe-05b96bae0c76,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
6120,5442,2002-05-14,"MP - Proportional Representation","District Results",,Bo,,"Sierra Leone",Party,SLPP,009900,"First Round","235,774",93.90,Yes,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,b7de528c-f13e-4505-b4d8-df53899edfa7,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
6350,5332,2002-05-14,"MP - Proportional Representation","Regional Results",,,North,"All People",Congress,APC,FF333C,"First Round","196,245",0.00,Yes,Final/Certified,/sites/default/files/2023-05/apc-party.jpg,6ba88e32-2fbf-44a8-bdac-c66a0aa1c404,ca0ae071-033e-41a3-bb79-bf1541fff84b,,"All Peoples Congress"
6352,5332,2002-05-14,"MP - Proportional Representation","Regional Results",,,West,"All People",Congress,APC,FF333C,"First Round","175,179",0.00,Yes,Final/Certified,/sites/default/files/2023-05/apc-party.jpg,2a0c23c2-7211-4689-893b-da4dcc9913f6,ca0ae071-033e-41a3-bb79-bf1541fff84b,,"All Peoples Congress"
6379,5442,2002-05-14,"MP - Proportional Representation","Regional Results",,,North,"Sierra Leone",Party,SLPP,009900,"First Round","171,159",0.00,No,Final/Certified,/sites/default/files/2023-05/slpp-party.jpg,12a362a5-aabc-4e95-b3fa-c5c7eb9f8a0a,52bb53a5-4399-414e-8b63-21da9bf23da1,,"Sierra Leone People's Party"
