SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionDistrict,ElectionRegion,CandidateFirstName,CandidateSurname,CandidatePoliticalParty,CandidatePoliticalPartyColor,ElectionRound,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,SLOEDP_UUID,Candidate_SLEOP_UUID,CandidateOtherNames,CandidateFullname
355,45,2002-05-14,Presidential,"National Results",,,Ahmad,Kabbah,SLPP,009900,"First Round","1,336,423",70.06,Yes,Provisional,/sites/default/files/2023-04/ahmad-tejan-kabbah.webp,37c76e97-e506-40d8-a0ae-730bf148821e,351d7c21-45eb-4f71-8658-c463673b75c4,Tejan,"Ahmad Tejan Kabbah"
349,32,2018-03-07,Presidential,"National Results",,,Julius,Bio,SLPP,009900,"Second Round","1,317,047",51.77,Yes,Final/Certified,/sites/default/files/2023-04/julius-maada-bio.jpg,c5882d92-6c85-42b9-9e69-173ead9fe8f3,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Maada Wonie","Julius Maada Wonie Bio"
374,91,2012-11-17,Presidential,"National Results",,,Ernest,Koroma,APC,FF333C,"First Round","1,314,881",58.65,Yes,Provisional,/sites/default/files/2023-04/Ernest-Bai-Koroma.jpg,0f198570-8ce1-4986-bbab-e038073d2815,cda5ea29-d656-48ce-bfe3-33a27c058e4e,Bai,"Ernest Bai Koroma"
348,33,2018-03-07,Presidential,"National Results",,,Samura,Kamara,APC,FF333C,"Second Round","1,227,020",48.23,No,Final/Certified,/sites/default/files/2023-04/dr-samura-matthew-wilson-kamara.jpg,fa4e5936-0417-4a66-9659-34910f546ac8,8db3e207-7f16-4c2e-a783-94b8136fead7,"Mathew Wilson","Samura Mathew Wilson Kamara"
351,32,2018-03-07,Presidential,"National Results",,,Julius,Bio,SLPP,009900,"First Round","1,097,482",43.26,Yes,Final/Certified,/sites/default/files/2023-04/julius-maada-bio.jpg,26edadee-766a-46ca-8be9-161c244fca22,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Maada Wonie","Julius Maada Wonie Bio"
350,33,2018-03-07,Presidential,"National Results",,,Samura,Kamara,APC,FF333C,"First Round","1,082,748",42.68,No,Final/Certified,/sites/default/files/2023-04/dr-samura-matthew-wilson-kamara.jpg,398c469f-b87d-45e5-b626-d1e95c290569,8db3e207-7f16-4c2e-a783-94b8136fead7,"Mathew Wilson","Samura Mathew Wilson Kamara"
372,91,2007-08-11,Presidential,"National Results",,,Ernest,Koroma,APC,FF333C,"Second Round","950,407",54.62,Yes,Provisional,/sites/default/files/2023-04/Ernest-Bai-Koroma.jpg,bc65fce9-37de-4008-88db-c29b6aa56264,cda5ea29-d656-48ce-bfe3-33a27c058e4e,Bai,"Ernest Bai Koroma"
375,32,2012-11-17,Presidential,"National Results",,,Julius,Bio,SLPP,009900,"First Round","837,517",37.36,No,Provisional,/sites/default/files/2023-04/julius-maada-bio.jpg,91c213ea-0878-4467-9587-6e22433d2076,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Maada Wonie","Julius Maada Wonie Bio"
364,91,2007-08-11,Presidential,"National Results",,,Ernest,Koroma,APC,FF333C,"First Round","815,523",44.34,Yes,Provisional,/sites/default/files/2023-04/Ernest-Bai-Koroma.jpg,bcbc7314-897f-45ac-957b-7ee1afd52a91,cda5ea29-d656-48ce-bfe3-33a27c058e4e,Bai,"Ernest Bai Koroma"
373,354,2007-08-11,Presidential,"National Results",,,Solomon,Berewa,SLPP,009900,"Second Round","789,651",45.38,No,Provisional,/sites/default/files/2023-04/solomon-berewa.webp,e19ca83d-9e95-4194-8f63-c06e2b4a1f25,c0b6ee2f-4a60-48d0-b5d6-eeab6615a96c,"Ekuma Dominic","Solomon Ekuma Dominic Berewa"
365,354,2007-08-11,Presidential,"National Results",,,Solomon,Berewa,SLPP,009900,"First Round","704,012",38.28,No,Provisional,/sites/default/files/2023-04/solomon-berewa.webp,5fda5cc7-0dc9-48ab-be2c-794ca545c525,c0b6ee2f-4a60-48d0-b5d6-eeab6615a96c,"Ekuma Dominic","Solomon Ekuma Dominic Berewa"
9086,91,2012-11-17,Presidential,"Regional Results",,North,Ernest,Koroma,APC,FF333C,"First Round","682,142",89.78,Yes,Final/Certified,/sites/default/files/2023-04/Ernest-Bai-Koroma.jpg,07703fc9-4d65-438e-89d2-e63de318a2a3,cda5ea29-d656-48ce-bfe3-33a27c058e4e,Bai,"Ernest Bai Koroma"
