CandidateSLEOP_ID,FirstName,MiddleName,SurName,PoliticalParty,ElectionYear,ElectionType,Profile,CandidatePhoto,CandidateSLEOP_UUID,CandidateFullname,ElectionDistrict,ElectionCityCouncil,ElectionLocality,ElectionConstituency,ElectionWard,CandidateContact,CandidateEducation,CandidateEmail,CandidateGender,CandidateSkills,CandidateWebsite
413,Saidu,,Jalloh,"Sierra Leone Peoples Party (SLPP)",2012-11-17,Councillors,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,12096378-6dff-4966-84b2-d93dff4dfe3a,"Saidu Jalloh",Kailahun,,,,"Ward 1",,,,Male,,
492,Allieu,,Lansana,"Sierra Leone Peoples Party (SLPP)",2012-11-17,Councillors,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,1195cfb1-49c1-4607-92fb-13bce29e32bc,"Allieu Lansana",Kailahun,,,,"Ward 6",,,,Male,,
508,Emmanuel,,Sakilla,"All Peoples Congress (APC)",2012-11-17,Councillors,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,65250cc6-aefb-4720-b3c2-23f2e22952fa,"Emmanuel Sakilla",Kailahun,,,,"Ward 10",,,,Male,,
578,Steven,,Johnny,"Revolutionary United Front Party (RUFP)",2012-11-17,Councillors,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,26cd3329-cbad-4375-a8d0-179565f40000,"Steven Johnny",Kailahun,,,,"Ward 14",,,,Male,,
624,Fatmata,,Kanneh,"United Democratic Movement (UDM)",2012-11-17,Councillors,,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-1.png,1e8cbd2d-5c21-4e1b-a55b-d5cac83c0207,"Fatmata Kanneh",Kailahun,,,,"Ward 18",,,,Female,,
672,Amara,,Kallon,"Peoples Movement for Democratic Change (PMDC)",2012-11-17,Councillors,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,87008a7c-849b-4542-9fd8-ac70e0c58c38,"Amara Kallon",Kailahun,,,,"Ward 22",,,,Male,,
850,Mabinti,,Mustapha,"Revolutionary United Front Party (RUFP)",2012-11-17,Councillors,,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-1.png,58b1ede3-a0f1-4479-8683-689500f9bb42,"Mabinti Mustapha",Kailahun,,,,"Ward 28",,,,Female,,
883,"O. Benson",Ronald,Margao,"Peoples Movement for Democratic Change (PMDC)",2012-11-17,Councillors,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,cf8ffe04-e88a-43a6-8ca0-45935119ab91,"O. Benson Ronald Margao",Kenema,"Kenema City",,,"Ward 30",,,,Male,,
908,Samuel,,Fomba,"Peoples Movement for Democratic Change (PMDC)",2012-11-17,Councillors,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,bbb12cbc-cbcc-41b9-8014-69824e47fa1a,"Samuel Fomba",Kenema,"Kenema City",,,"Ward 31",,,,Male,,
1021,Macarthy,,Bundor,"Coalition for Change (C4C)",2018-03-07,Councillors,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png,820b63d1-4a68-4ab2-b70a-76da3d1e161e,"Macarthy Bundor",Kailahun,,,,"Ward 2",,,,Male,,
